CCL4	CXCR2
CCL4	CXCR3
CCL4	CXCR4
CCL4	CXCR5
CCL4	CXCR6
CCL4	FPR1
CCL4	GPR152
CCL4	GPRC5D
CCL4	HTR2C
CCL4	P2RY2
CCL4	PLCB1
CCL4	PLCG1
CCL4	PTGER1
CCL4	SLC7A1
CCL4	XCR1
CCL5	ACKR1
CCL5	ACKR2
CCL5	ACKR4
CCL5	ADRA2A
CCL5	CCR1
CCL5	CCR2
CCL5	CCR3
CCL5	CCR4
CCL5	CCR5
CCL5	CCR6
CCL5	CCR7
CCL5	CCR8
CCL5	CCR9
CCL5	CCR10
CCL5	CCRL2
CCL5	CD4
CCL5	CX3CL1
CCL5	CX3CR1
CCL5	CXCL12
CCL5	CXCR1
CCL5	CXCR2
CCL5	CXCR3
CCL5	CXCR4
CCL5	CXCR5
CCL5	CXCR6
CCL5	DPP4
CCL5	GPR75
CCL5	GRM7
CCL5	MMP9
CCL5	MTNR1A
CCL5	MTOR
CCL5	PLD1
CCL5	SDC1
CCL5	SDC4
CCL5	TNFRSF4
CCL5	XCR1
CCL7	ACKR1
CCL7	ACKR2
CCL7	ACKR4
CCL7	CCR1
CCL7	CCR2
CCL7	CCR3
CCL7	CCR5
CCL7	CCR10
CCL7	CXCR3
CCL8	ACKR1
CCL8	ACKR2
CCL8	ACKR4
CCL8	CCR1
CCL8	CCR2
CCL8	CCR3
CCL8	CCR5
CCL11	ACKR2
CCL11	ACKR4
CCL11	ADRB2
CCL11	AGTR2
CCL11	CCR1
CCL11	CCR2
CCL11	CCR3
CCL11	CCR4
CCL11	CCR5
CCL11	CCR6
CCL11	CCR7
CCL11	CCR8
CCL11	CCR9
CCL11	CCR10
CCL11	CFTR
CCL11	CHRM1
CCL11	CX3CR1
CCL11	CXCR1
CCL11	CXCR2
CCL11	CXCR3
CCL11	CXCR4
CCL11	CXCR5
CCL11	CXCR6
CCL11	DPP4
CCL11	FPR1
CCL11	HTR2C
CCL11	P2RY2
CCL11	PIK3C2G
CCL11	PLCB1
CCL11	PTGER1
CCL11	XCR1
CCL12	ACKR2
CCL12	ACKR4
CCL12	CCR1
CCL12	CCR2
CCL12	CCR3
CCL12	CCR4
CCL12	CCR5
CCL12	CCR6
CCL12	CCR7
CCL12	CCR8
CCL12	CCR9
CCL12	CCR10
CCL12	CX3CR1
CCL12	CXCR1
CCL12	CXCR2
CCL12	CXCR3
CCL12	CXCR4
CCL12	CXCR5
CCL12	CXCR6
CCL12	F3
CCL12	JAK2
CCL12	MAPK11
CCL12	MMP14
CCL12	PTGS2
CCL12	TNF
CCL12	VEGFA
CCL12	XCR1
CCL13	ACKR2
CCL13	ACKR4
CCL13	CCR2
CCL13	CCR3
CCL13	CCR5
CCL13	CCR9
CCL13	CXCR3
CCL14	ACKR2
CCL14	CCR1
CCL14	CCR3
CCL14	CCR5
CCL15	CCR1
CCL15	CCR3
CCL16	CCR1
CCL16	CCR2
CCL16	CCR5
CCL16	CCR8
CCL16	HRH4
CCL17	ACKR1
CCL17	ACKR2
CCL17	CCR1
CCL17	CCR2
CCL17	CCR3
CCL17	CCR4
CCL17	CCR5
CCL17	CCR6
CCL17	CCR7
CCL17	CCR8
CCL17	CCR9
CCL17	CCR10
CCL17	CX3CR1
CCL17	CXCR1
CCL17	CXCR2
CCL17	CXCR3
CCL17	CXCR4
CCL17	CXCR5
CCL17	CXCR6
CCL17	XCR1
CCL18	CCR3
CCL18	CCR8
CCL18	PITPNM3
CCL19	ACKR2
CCL19	ACKR4
CCL19	CCR1
CCL19	CCR7
CCL19	CCR10
CCL19	CCRL2
CCL19	CXCR3
CCL20	ACKR4
CCL20	ADRA2A
CCL20	CCR1
CCL20	CCR2
CCL20	CCR3
CCL20	CCR4
CCL20	CCR5
CCL20	CCR6
CCL20	CCR7
CCL20	CCR8
CCL20	CCR9
CCL20	CCR10
CCL20	CX3CR1
CCL20	CXCR1
CCL20	CXCR2
CCL20	CXCR3
CCL20	CXCR4
CCL20	CXCR5
CCL20	CXCR6
CCL20	GRM7
CCL20	MTNR1A
CCL20	XCR1
CCL21	ACKR2
CCL21	ACKR4
CCL21	CCR1
CCL21	CCR7
CCL21	CCR10
CCL21	CXCR3
CCL22	ACKR2
CCL22	CCR1
CCL22	CCR2
CCL22	CCR3
CCL22	CCR4
CCL22	CCR5
CCL22	CCR6
CCL22	CCR7
CCL22	CCR8
CCL22	CCR9
CCL22	CCR10
CCL22	CD80
CCL22	CX3CR1
CCL22	CXCR1
CCL22	CXCR2
CCL22	CXCR3
CCL22	CXCR4
CCL22	CXCR5
CCL22	CXCR6
CCL22	DPP4
CCL22	XCR1
CCL23	CCR1
CCL24	ACKR2
CCL24	CCR1
CCL24	CCR2
CCL24	CCR3
CCL24	CCR4
CCL24	CCR5
CCL24	CCR6
CCL24	CCR7
CCL24	CCR8
CCL24	CCR9
CCL24	CCR10
CCL24	CX3CR1
CCL24	CXCR1
CCL24	CXCR2
CCL24	CXCR3
CCL24	CXCR4
CCL24	CXCR5
CCL24	CXCR6
CCL24	XCR1
CCL25	ACKR2
CCL25	ACKR4
CCL25	ADRA2A
CCL25	CCR1
CCL25	CCR2
CCL25	CCR3
CCL25	CCR4
CCL25	CCR5
CCL25	CCR6
CCL25	CCR7
CCL25	CCR8
CCL25	CCR9
CCL25	CCR10
CCL25	CX3CR1
CCL25	CXCR1
CCL25	CXCR2
CCL25	CXCR3
CCL25	CXCR4
CCL25	CXCR5
CCL25	CXCR6
CCL25	GRM7
CCL25	MTNR1A
CCL25	XCR1
CCL26	CCR1
CCL26	CCR2
CCL26	CCR3
CCL27	ACKR2
CCL27	CCR10
CCL28	ACKR2
CCL28	ACKR4
CCL28	ADRA2A
CCL28	CCR1
CCL28	CCR2
CCL28	CCR3
CCL28	CCR4
CCL28	CCR5
CCL28	CCR6
CCL28	CCR7
CCL28	CCR8
CCL28	CCR9
CCL28	CCR10
CCL28	CX3CR1
CCL28	CXCR1
CCL28	CXCR2
CCL28	CXCR3
CCL28	CXCR4
CCL28	CXCR5
CCL28	CXCR6
CCL28	GRM7
CCL28	MTNR1A
CCL28	XCR1
CCN1	CAV1
CCN1	ITGA5
CCN1	ITGAM
CCN1	ITGAV
CCN1	ITGB2
CCN1	ITGB3
CCN1	ITGB5
CCN1	SDC4
CCN2	FGFR2
CCN2	IGF2R
CCN2	ITGA5
CCN2	ITGAM
CCN2	ITGB2
CCN2	LRP1
CCN2	LRP6
CCN2	NTRK1
CCN3	NOTCH1
CCN3	PLXNA1
CCN4	ITGA5
CCN4	ITGB1
CCR5	CCL4
CD1D	CD3D
CD1D	CD3E
CD1D	CD3G
CD1D	LILRB2
CD2	CD48
CD5L	CD5
CD6	ALCAM
CD6	DAG1
CD8A	AQP2
CD8A	CD4
CD8A	CD28
CD8A	CD80
CD8A	CD86
CD8A	CSK
CD8A	IL2RA
CD8A	IL2RB
CD8A	IL2RG
CD8A	LAT
CD8A	LCK
CD8A	PIK3R1
CD8A	PRF1
CD8A	PRKCQ
CD8A	TGFB1
CD8B1	CD28
CD8B1	CD80
CD8B1	CD86
CD8B1	CSK
CD8B1	IL2RA
CD8B1	IL2RB
CD8B1	IL2RG
CD8B1	LAT
CD8B1	LCK
CD8B1	PIK3R1
CD8B1	PRF1
CD8B1	PRKCQ
CD8B	CD3D
CD8B	CD3E
CD8B	CD3G
CD8B	CD4
CD8B	CD8A
